Code;Niveau;Description_FR;Description_EN;Groupe_Utilisation;D.D_%;CEDEAO_%;T.V.A_%;Formalites;Total_%
030787;HS6;Autres ormeaux (Haliotis spp.);Molluscs;;;;;;
0307871000;HS10;Autres ormeaux (Haliotis spp.) - Type 1;Molluscs - Type 1;Alimentation;20.0;1.0;18.0;=;39.0
0307872000;HS10;Autres ormeaux (Haliotis spp.) - Type 2;Molluscs - Type 2;Alimentation;20.0;1.0;18.0;=;39.0
0307879000;HS10;Autres ormeaux (Haliotis spp.) - Autre;Molluscs - Other;Alimentation;20.0;1.0;18.0;=;39.0
030788;HS6;Autres strombes (Strombus spp.);Molluscs;;;;;;
0307881000;HS10;Autres strombes (Strombus spp.) - Type 1;Molluscs - Type 1;Alimentation;20.0;1.0;18.0;=;39.0
0307882000;HS10;Autres strombes (Strombus spp.) - Type 2;Molluscs - Type 2;Alimentation;20.0;1.0;18.0;=;39.0
0307889000;HS10;Autres strombes (Strombus spp.) - Autre;Molluscs - Other;Alimentation;20.0;1.0;18.0;=;39.0
030791;HS6;Autres mollusques vivants;Other live molluscs;;;;;;
0307911000;HS10;Autres mollusques vivants - Type 1;Other live molluscs - Type 1;Alimentation;20.0;1.0;18.0;=;39.0
0307912000;HS10;Autres mollusques vivants - Type 2;Other live molluscs - Type 2;Alimentation;20.0;1.0;18.0;=;39.0
0307919000;HS10;Autres mollusques vivants - Autre;Other live molluscs - Other;Alimentation;20.0;1.0;18.0;=;39.0
030792;HS6;Congelés;Molluscs;;;;;;
0307921000;HS10;Congelés - Type 1;Molluscs - Type 1;Alimentation;20.0;1.0;18.0;=;39.0
0307922000;HS10;Congelés - Type 2;Molluscs - Type 2;Alimentation;20.0;1.0;18.0;=;39.0
0307929000;HS10;Congelés - Autre;Molluscs - Other;Alimentation;20.0;1.0;18.0;=;39.0
030799;HS6;Autres;Molluscs;;;;;;
0307991000;HS10;Autres - Type 1;Molluscs - Type 1;Alimentation;20.0;1.0;18.0;=;39.0
0307992000;HS10;Autres - Type 2;Molluscs - Type 2;Alimentation;20.0;1.0;18.0;=;39.0
0307999000;HS10;Autres - Autre;Molluscs - Other;Alimentation;20.0;1.0;18.0;=;39.0
0308;RANGEE 08;"Aquatic invertebrates other than crustaceans and molluscs, live, fresh, chilled, frozen, dried, salted or in brine; smoked aquatic invertebrates other than crustaceans and molluscs, whether or not cooked before or during the smoking process";;;;;;;
030811;HS6;Vivants;Aquatic invertebrates;;;;;;
0308111000;HS10;Vivants - Type 1;Aquatic invertebrates - Type 1;Alimentation;20.0;1.0;18.0;=;39.0
0308112000;HS10;Vivants - Type 2;Aquatic invertebrates - Type 2;Alimentation;20.0;1.0;18.0;=;39.0
0308119000;HS10;Vivants - Autre;Aquatic invertebrates - Other;Alimentation;20.0;1.0;18.0;=;39.0
030812;HS6;Congelées;Aquatic invertebrates;;;;;;
0308121000;HS10;Congelées - Type 1;Aquatic invertebrates - Type 1;Alimentation;20.0;1.0;18.0;=;39.0
0308122000;HS10;Congelées - Type 2;Aquatic invertebrates - Type 2;Alimentation;20.0;1.0;18.0;=;39.0
0308129000;HS10;Congelées - Autre;Aquatic invertebrates - Other;Alimentation;20.0;1.0;18.0;=;39.0
030819;HS6;Autres;Aquatic invertebrates;;;;;;
0308191000;HS10;Autres - Type 1;Aquatic invertebrates - Type 1;Alimentation;20.0;1.0;18.0;=;39.0
0308192000;HS10;Autres - Type 2;Aquatic invertebrates - Type 2;Alimentation;20.0;1.0;18.0;=;39.0
0308199000;HS10;Autres - Autre;Aquatic invertebrates - Other;Alimentation;20.0;1.0;18.0;=;39.0
030821;HS6;Vivants;Aquatic invertebrates;;;;;;
0308211000;HS10;Vivants - Type 1;Aquatic invertebrates - Type 1;Alimentation;20.0;1.0;18.0;=;39.0
0308212000;HS10;Vivants - Type 2;Aquatic invertebrates - Type 2;Alimentation;20.0;1.0;18.0;=;39.0
0308219000;HS10;Vivants - Autre;Aquatic invertebrates - Other;Alimentation;20.0;1.0;18.0;=;39.0
030822;HS6;Aquatic invertebrates;Aquatic invertebrates;;;;;;
0308221000;HS10;Aquatic invertebrates - Type 1;Aquatic invertebrates - Type 1;Alimentation;20.0;1.0;18.0;=;39.0
0308222000;HS10;Aquatic invertebrates - Type 2;Aquatic invertebrates - Type 2;Alimentation;20.0;1.0;18.0;=;39.0
0308229000;HS10;Aquatic invertebrates - Autre;Aquatic invertebrates - Other;Alimentation;20.0;1.0;18.0;=;39.0
030829;HS6;Autres;Aquatic invertebrates;;;;;;
0308291000;HS10;Autres - Type 1;Aquatic invertebrates - Type 1;Alimentation;20.0;1.0;18.0;=;39.0
0308292000;HS10;Autres - Type 2;Aquatic invertebrates - Type 2;Alimentation;20.0;1.0;18.0;=;39.0
0308299000;HS10;Autres - Autre;Aquatic invertebrates - Other;Alimentation;20.0;1.0;18.0;=;39.0
030830;HS6;Méduses (Rhopilema spp.);Aquatic invertebrates;;;;;;
0308301000;HS10;Méduses (Rhopilema spp.) - Type 1;Aquatic invertebrates - Type 1;Alimentation;20.0;1.0;18.0;=;39.0
0308302000;HS10;Méduses (Rhopilema spp.) - Type 2;Aquatic invertebrates - Type 2;Alimentation;20.0;1.0;18.0;=;39.0
0308309000;HS10;Méduses (Rhopilema spp.) - Autre;Aquatic invertebrates - Other;Alimentation;20.0;1.0;18.0;=;39.0
030890;HS6;Autres;Aquatic invertebrates;;;;;;
0308901000;HS10;Autres - Type 1;Aquatic invertebrates - Type 1;Alimentation;20.0;1.0;18.0;=;39.0
0308902000;HS10;Autres - Type 2;Aquatic invertebrates - Type 2;Alimentation;20.0;1.0;18.0;=;39.0
0308909000;HS10;Autres - Autre;Aquatic invertebrates - Other;Alimentation;20.0;1.0;18.0;=;39.0
0309;RANGEE 09;Flours, meals and pellets of fish, crustaceans, molluscs and other aquatic invertebrates, fit for human consumption;;;;;;;
030910;HS6;De poisson;Flours;;;;;;
0309101000;HS10;De poisson - Type 1;Flours - Type 1;Alimentation;20.0;1.0;18.0;=;39.0
0309102000;HS10;De poisson - Type 2;Flours - Type 2;Alimentation;20.0;1.0;18.0;=;39.0
0309109000;HS10;De poisson - Autre;Flours - Other;Alimentation;20.0;1.0;18.0;=;39.0
030990;HS6;Autres :;Flours;;;;;;
0309901000;HS10;Autres : - Type 1;Flours - Type 1;Alimentation;20.0;1.0;18.0;=;39.0
0309902000;HS10;Autres : - Type 2;Flours - Type 2;Alimentation;20.0;1.0;18.0;=;39.0
0309909000;HS10;Autres : - Autre;Flours - Other;Alimentation;20.0;1.0;18.0;=;39.0
CHAPITRE 04;CHAPITRE;Lait, oeufs, miel;;;;;;;
0401;RANGEE 01;"Milk and cream; not concentrated, not containing added sugar or other sweetening matter";;;;;;;
040110;HS6;Lait écrémé en poudre;Skimmed milk powder;;;;;;
0401101000;HS10;Lait écrémé en poudre - Production locale;Skimmed milk powder - Local production;Alimentation;20.0;1.0;18.0;910 Déclaration d'Importation du Produit;39.0
0401109000;HS10;Lait écrémé en poudre - Importé;Skimmed milk powder - Imported;Alimentation;20.0;1.0;18.0;=;39.0
040120;HS6;Lait entier en poudre;Whole milk powder;;;;;;
0401201000;HS10;Lait entier en poudre - Production locale;Whole milk powder - Local production;Alimentation;20.0;1.0;18.0;=;39.0
0401209000;HS10;Lait entier en poudre - Importé;Whole milk powder - Imported;Alimentation;20.0;1.0;18.0;=;39.0
040130;HS6;Lait concentré non sucré;Unsweetened concentrated milk;;;;;;
040130;HS6-DIRECT;Lait concentré non sucré;Unsweetened concentrated milk;Alimentation;20.0;1.0;18.0;=;39.0
040140;HS6;Lait concentré sucré;Sweetened concentrated milk;;;;;;
040140;HS6-DIRECT;Lait concentré sucré;Sweetened concentrated milk;Alimentation;20.0;1.0;18.0;=;39.0
040150;HS6;Lait et crème concentrés;Concentrated milk and cream;;;;;;
0401501000;HS10;Lait et crème concentrés - Type 1;Concentrated milk and cream - Type 1;Alimentation;20.0;1.0;18.0;=;39.0
0401502000;HS10;Lait et crème concentrés - Type 2;Concentrated milk and cream - Type 2;Alimentation;20.0;1.0;18.0;=;39.0
0401509000;HS10;Lait et crème concentrés - Autre;Concentrated milk and cream - Other;Alimentation;20.0;1.0;18.0;=;39.0
0402;RANGEE 02;"Milk and cream; concentrated or containing added sugar or other sweetening matter";;;;;;;
040210;HS6;Lait en poudre teneur MG ≤1.5%;Milk powder fat content ≤1.5%;;;;;;
0402101000;HS10;Lait en poudre teneur MG ≤1.5% - Production locale;Milk powder fat content ≤1.5% - Local production;Alimentation;20.0;1.0;18.0;=;39.0
0402109000;HS10;Lait en poudre teneur MG ≤1.5% - Importé;Milk powder fat content ≤1.5% - Imported;Alimentation;20.0;1.0;18.0;=;39.0
040220;HS6;En poudre;En poudre;;;;;;
0402201000;HS10;En poudre - Type 1;En poudre - Type 1;Alimentation;20.0;1.0;18.0;=;39.0
0402202000;HS10;En poudre - Type 2;En poudre - Type 2;Alimentation;20.0;1.0;18.0;=;39.0
0402209000;HS10;En poudre - Autre;En poudre - Other;Alimentation;20.0;1.0;18.0;=;39.0
040221;HS6;Lait en poudre sans sucre >1.5% MG;Milk powder unsweetened >1.5% fat;;;;;;
0402211000;HS10;Lait en poudre sans sucre >1.5% MG - Production locale;Milk powder unsweetened >1.5% fat - Local production;Alimentation;20.0;1.0;18.0;=;39.0
0402219000;HS10;Lait en poudre sans sucre >1.5% MG - Importé;Milk powder unsweetened >1.5% fat - Imported;Alimentation;20.0;1.0;18.0;=;39.0
040229;HS6;Lait en poudre sucré >1.5% MG;Milk powder sweetened >1.5% fat;;;;;;
0402291000;HS10;Lait en poudre sucré >1.5% MG - Production locale;Milk powder sweetened >1.5% fat - Local production;Alimentation;20.0;1.0;18.0;=;39.0
0402299000;HS10;Lait en poudre sucré >1.5% MG - Importé;Milk powder sweetened >1.5% fat - Imported;Alimentation;20.0;1.0;18.0;=;39.0
040291;HS6;Autres laits concentrés non sucrés;Other concentrated milk;;;;;;
0402911000;HS10;Autres laits concentrés non sucrés - Type 1;Other concentrated milk - Type 1;Alimentation;20.0;1.0;18.0;=;39.0
0402912000;HS10;Autres laits concentrés non sucrés - Type 2;Other concentrated milk - Type 2;Alimentation;20.0;1.0;18.0;=;39.0
0402919000;HS10;Autres laits concentrés non sucrés - Autre;Other concentrated milk - Other;Alimentation;20.0;1.0;18.0;=;39.0
040299;HS6;Autres laits concentrés sucrés;Other concentrated milk;;;;;;
0402991000;HS10;Autres laits concentrés sucrés - Type 1;Other concentrated milk - Type 1;Alimentation;20.0;1.0;18.0;=;39.0
0402992000;HS10;Autres laits concentrés sucrés - Type 2;Other concentrated milk - Type 2;Alimentation;20.0;1.0;18.0;=;39.0
0402999000;HS10;Autres laits concentrés sucrés - Autre;Other concentrated milk - Other;Alimentation;20.0;1.0;18.0;=;39.0
0403;RANGEE 03;"Yogurt; buttermilk, curdled milk and cream, kephir and other fermented or acidified milk and cream, whether or not concentrated or containing added sugar or other sweetening matter or flavoured or containing added fruit, nuts or cocoa.";;;;;;;
040310;HS6;Yaourt;Yogurt;;;;;;
0403101000;HS10;Yaourt - Type 1;Yogurt - Type 1;Alimentation;20.0;1.0;18.0;=;39.0
0403102000;HS10;Yaourt - Type 2;Yogurt - Type 2;Alimentation;20.0;1.0;18.0;=;39.0
0403109000;HS10;Yaourt - Autre;Yogurt - Other;Alimentation;20.0;1.0;18.0;=;39.0
040320;HS6;Yoghourt;Dairy produce;;;;;;
0403201000;HS10;Yoghourt - Type 1;Dairy produce - Type 1;Alimentation;20.0;1.0;18.0;=;39.0
0403202000;HS10;Yoghourt - Type 2;Dairy produce - Type 2;Alimentation;20.0;1.0;18.0;=;39.0
0403209000;HS10;Yoghourt - Autre;Dairy produce - Other;Alimentation;20.0;1.0;18.0;=;39.0
040390;HS6;Babeurre, lait caillé;Buttermilk, curdled milk;;;;;;
040390;HS6-DIRECT;Babeurre, lait caillé;Buttermilk, curdled milk;Alimentation;20.0;1.0;18.0;=;39.0
0404;RANGEE 04;"Whey and products consisting of natural milk constituents; whether or not containing added sugar or other sweetening matter, not elsewhere specified or included";;;;;;;
040410;HS6;Lactosérum;Whey;;;;;;
0404101000;HS10;Lactosérum - Type 1;Whey - Type 1;Alimentation;20.0;1.0;18.0;=;39.0
0404102000;HS10;Lactosérum - Type 2;Whey - Type 2;Alimentation;20.0;1.0;18.0;=;39.0
0404109000;HS10;Lactosérum - Autre;Whey - Other;Alimentation;20.0;1.0;18.0;=;39.0
040490;HS6;Produits lactés autres;Other dairy products;;;;;;
0404901000;HS10;Produits lactés autres - Type 1;Other dairy products - Type 1;Alimentation;20.0;1.0;18.0;=;39.0
0404902000;HS10;Produits lactés autres - Type 2;Other dairy products - Type 2;Alimentation;20.0;1.0;18.0;=;39.0
0404909000;HS10;Produits lactés autres - Autre;Other dairy products - Other;Alimentation;20.0;1.0;18.0;=;39.0
0405;RANGEE 05;"Butter and other fats and oils derived from milk; dairy spreads";;;;;;;
040510;HS6;Beurre;Butter;;;;;;
0405101000;HS10;Beurre - Production locale;Butter - Local production;Alimentation;20.0;1.0;18.0;=;39.0
0405109000;HS10;Beurre - Importé;Butter - Imported;Alimentation;20.0;1.0;18.0;=;39.0
040520;HS6;Pâtes à tartiner laitières;Dairy spreads;;;;;;
040520;HS6-DIRECT;Pâtes à tartiner laitières;Dairy spreads;Alimentation;20.0;1.0;18.0;=;39.0
040590;HS6;Matières grasses du lait autres;Other milk fats;;;;;;
0405901000;HS10;Matières grasses du lait autres - Type 1;Other milk fats - Type 1;Alimentation;20.0;1.0;18.0;=;39.0
0405902000;HS10;Matières grasses du lait autres - Type 2;Other milk fats - Type 2;Alimentation;20.0;1.0;18.0;=;39.0
0405909000;HS10;Matières grasses du lait autres - Autre;Other milk fats - Other;Alimentation;20.0;1.0;18.0;=;39.0
0406;RANGEE 06;Cheese and curd;;;;;;;
040610;HS6;Fromages frais non affinés;Fresh unripened cheese;;;;;;
0406101000;HS10;Fromages frais non affinés - Type 1;Fresh unripened cheese - Type 1;Alimentation;20.0;1.0;18.0;=;39.0
0406102000;HS10;Fromages frais non affinés - Type 2;Fresh unripened cheese - Type 2;Alimentation;20.0;1.0;18.0;=;39.0
0406109000;HS10;Fromages frais non affinés - Autre;Fresh unripened cheese - Other;Alimentation;20.0;1.0;18.0;=;39.0
040620;HS6;Fromages râpés ou en poudre;Grated or powdered cheese;;;;;;
040620;HS6-DIRECT;Fromages râpés ou en poudre;Grated or powdered cheese;Alimentation;20.0;1.0;18.0;=;39.0
040630;HS6;Fromages fondus;Processed cheese;;;;;;
0406301000;HS10;Fromages fondus - Type 1;Processed cheese - Type 1;Alimentation;20.0;1.0;18.0;=;39.0
0406302000;HS10;Fromages fondus - Type 2;Processed cheese - Type 2;Alimentation;20.0;1.0;18.0;=;39.0
0406309000;HS10;Fromages fondus - Autre;Processed cheese - Other;Alimentation;20.0;1.0;18.0;=;39.0
040640;HS6;Fromages à pâte persillée;Blue-veined cheese;;;;;;
040640;HS6-DIRECT;Fromages à pâte persillée;Blue-veined cheese;Alimentation;20.0;1.0;18.0;=;39.0
040690;HS6;Autres fromages;Other cheese;;;;;;
0406901000;HS10;Autres fromages - Type 1;Other cheese - Type 1;Alimentation;20.0;1.0;18.0;=;39.0
0406902000;HS10;Autres fromages - Type 2;Other cheese - Type 2;Alimentation;20.0;1.0;18.0;=;39.0
0406909000;HS10;Autres fromages - Autre;Other cheese - Other;Alimentation;20.0;1.0;18.0;=;39.0
0407;RANGEE 07;"Birds' eggs, in shell; fresh, preserved or cooked";;;;;;;
040700;HS6;Oeufs en coquille;Eggs in shell;;;;;;
0407000010;HS10;Oeufs en coquille - Usage spécifique;Eggs in shell - Specific use;Alimentation;20.0;1.0;18.0;=;39.0
0407000090;HS10;Oeufs en coquille - Autre usage;Eggs in shell - Other use;Alimentation;20.0;1.0;18.0;=;39.0
040711;HS6;De volaille de l'espèce Gallus domesticus;Birds' eggs;;;;;;
0407111000;HS10;De volaille de l'espèce Gallus domesticus - Type 1;Birds' eggs - Type 1;Alimentation;20.0;1.0;18.0;=;39.0
0407112000;HS10;De volaille de l'espèce Gallus domesticus - Type 2;Birds' eggs - Type 2;Alimentation;20.0;1.0;18.0;=;39.0
0407119000;HS10;De volaille de l'espèce Gallus domesticus - Autre;Birds' eggs - Other;Alimentation;20.0;1.0;18.0;=;39.0
040719;HS6;Autres;Birds' eggs;;;;;;
0407191000;HS10;Autres - Type 1;Birds' eggs - Type 1;Alimentation;20.0;1.0;18.0;=;39.0
0407192000;HS10;Autres - Type 2;Birds' eggs - Type 2;Alimentation;20.0;1.0;18.0;=;39.0
0407199000;HS10;Autres - Autre;Birds' eggs - Other;Alimentation;20.0;1.0;18.0;=;39.0
040721;HS6;De volailles de l'espèce Gallus domesticus;Birds' eggs;;;;;;
0407211000;HS10;De volailles de l'espèce Gallus domesticus - Type 1;Birds' eggs - Type 1;Alimentation;20.0;1.0;18.0;=;39.0
0407212000;HS10;De volailles de l'espèce Gallus domesticus - Type 2;Birds' eggs - Type 2;Alimentation;20.0;1.0;18.0;=;39.0
0407219000;HS10;De volailles de l'espèce Gallus domesticus - Autre;Birds' eggs - Other;Alimentation;20.0;1.0;18.0;=;39.0
040729;HS6;Autres;Birds' eggs;;;;;;
0407291000;HS10;Autres - Type 1;Birds' eggs - Type 1;Alimentation;20.0;1.0;18.0;=;39.0
0407292000;HS10;Autres - Type 2;Birds' eggs - Type 2;Alimentation;20.0;1.0;18.0;=;39.0
0407299000;HS10;Autres - Autre;Birds' eggs - Other;Alimentation;20.0;1.0;18.0;=;39.0
040790;HS6;Autres;Birds' eggs;;;;;;
0407901000;HS10;Autres - Type 1;Birds' eggs - Type 1;Alimentation;20.0;1.0;18.0;=;39.0
0407902000;HS10;Autres - Type 2;Birds' eggs - Type 2;Alimentation;20.0;1.0;18.0;=;39.0
0407909000;HS10;Autres - Autre;Birds' eggs - Other;Alimentation;20.0;1.0;18.0;=;39.0
0408;RANGEE 08;"Birds' eggs, not in shell; egg yolks, fresh, dried, cooked by steaming or boiling in water, moulded, frozen or otherwise preserved, whether or not containing added sugar or other sweetening matter";;;;;;;
040811;HS6;Jaunes d'oeufs séchés;Dried egg yolks;;;;;;
040811;HS6-DIRECT;Jaunes d'oeufs séchés;Dried egg yolks;Alimentation;20.0;1.0;18.0;=;39.0
040819;HS6;Jaunes d'oeufs autres;Other egg yolks;;;;;;
040819;HS6-DIRECT;Jaunes d'oeufs autres;Other egg yolks;Alimentation;20.0;1.0;18.0;=;39.0
040891;HS6;Oeufs séchés sans coquille;Dried eggs, not in shell;;;;;;
040891;HS6-DIRECT;Oeufs séchés sans coquille;Dried eggs, not in shell;Alimentation;20.0;1.0;18.0;=;39.0
040899;HS6;Oeufs autres;Other eggs;;;;;;
0408991000;HS10;Oeufs autres - Type 1;Other eggs - Type 1;Alimentation;20.0;1.0;18.0;=;39.0
0408992000;HS10;Oeufs autres - Type 2;Other eggs - Type 2;Alimentation;20.0;1.0;18.0;=;39.0
0408999000;HS10;Oeufs autres - Autre;Other eggs - Other;Alimentation;20.0;1.0;18.0;=;39.0
0409;RANGEE 09;"Honey; natural";;;;;;;
040900;HS6;Miel naturel;Natural honey;;;;;;
0409001000;HS10;Miel naturel - Type 1;Natural honey - Type 1;Alimentation;20.0;1.0;18.0;=;39.0
0409002000;HS10;Miel naturel - Type 2;Natural honey - Type 2;Alimentation;20.0;1.0;18.0;=;39.0
0409009000;HS10;Miel naturel - Autre;Natural honey - Other;Alimentation;20.0;1.0;18.0;=;39.0
0410;RANGEE 10;"Animal products; insects and other edible products of animal origin, not elsewhere specified or included";;;;;;;
041010;HS6;Insectes;Animal products;;;;;;
0410101000;HS10;Insectes - Type 1;Animal products - Type 1;Alimentation;20.0;1.0;18.0;=;39.0
0410102000;HS10;Insectes - Type 2;Animal products - Type 2;Alimentation;20.0;1.0;18.0;=;39.0
0410109000;HS10;Insectes - Autre;Animal products - Other;Alimentation;20.0;1.0;18.0;=;39.0
041090;HS6;Autres;Animal products;;;;;;
0410901000;HS10;Autres - Type 1;Animal products - Type 1;Alimentation;20.0;1.0;18.0;=;39.0
0410902000;HS10;Autres - Type 2;Animal products - Type 2;Alimentation;20.0;1.0;18.0;=;39.0
0410909000;HS10;Autres - Autre;Animal products - Other;Alimentation;20.0;1.0;18.0;=;39.0
CHAPITRE 05;CHAPITRE;Autres produits d'origine animale;;;;;;;
0501;RANGEE 01;"Human hair; unworked, whether or not washed or scoured; waste of human hair";;;;;;;
050100;HS6;Cheveux bruts;déchets de cheveux;;;;;;
0501001000;HS10;Cheveux bruts - Type 1;déchets de cheveux - Type 1;Industrie;10.0;1.0;18.0;910 Déclaration d'Importation du Produit;29.0
0501002000;HS10;Cheveux bruts - Type 2;déchets de cheveux - Type 2;Industrie;10.0;1.0;18.0;=;29.0
0501009000;HS10;Cheveux bruts - Autre;déchets de cheveux - Other;Industrie;10.0;1.0;18.0;=;29.0
0502;RANGEE 02;"Pigs', hogs' or boars' bristles and hair; and waste thereof";;;;;;;
050210;HS6;Soies de porc ou de sanglier et déchets de ces soies;Animal products;;;;;;
0502101000;HS10;Soies de porc ou de sanglier et déchets de ces soies - Type 1;Animal products - Type 1;Industrie;10.0;1.0;18.0;=;29.0
0502102000;HS10;Soies de porc ou de sanglier et déchets de ces soies - Type 2;Animal products - Type 2;Industrie;10.0;1.0;18.0;=;29.0
0502109000;HS10;Soies de porc ou de sanglier et déchets de ces soies - Autre;Animal products - Other;Industrie;10.0;1.0;18.0;=;29.0
050290;HS6;Autres;Animal products;;;;;;
0502901000;HS10;Autres - Type 1;Animal products - Type 1;Industrie;10.0;1.0;18.0;=;29.0
0502902000;HS10;Autres - Type 2;Animal products - Type 2;Industrie;10.0;1.0;18.0;=;29.0
0502909000;HS10;Autres - Autre;Animal products - Other;Industrie;10.0;1.0;18.0;=;29.0
0504;RANGEE 04;"Guts, bladders and stomachs of animals (other than fish); whole and pieces thereof, fresh, chilled, frozen, salted, in brine, dried or smoked";;;;;;;
050400;HS6;Boyaux, vessies, estomacs d'animaux;Guts, bladders, stomachs of animals;;;;;;
0504001000;HS10;Boyaux, vessies, estomacs d'animaux - Espèce 1;Guts, bladders, stomachs of animals - Species 1;Industrie;10.0;1.0;18.0;=;29.0
0504002000;HS10;Boyaux, vessies, estomacs d'animaux - Espèce 2;Guts, bladders, stomachs of animals - Species 2;Industrie;10.0;1.0;18.0;=;29.0
0504009000;HS10;Boyaux, vessies, estomacs d'animaux - Autre espèce;Guts, bladders, stomachs of animals - Other species;Industrie;10.0;1.0;18.0;=;29.0
0505;RANGEE 05;"Skins and other parts of birds with feathers, down; feathers, down and parts thereof; not further worked than cleaned, disinfected, treated for preservation; powder, waste and parts of feathers";;;;;;;
050510;HS6;Plumes pour literie;Feathers for stuffing;;;;;;
050510;HS6-DIRECT;Plumes pour literie;Feathers for stuffing;Industrie;10.0;1.0;18.0;=;29.0
050590;HS6;Autres plumes et duvet;Other feathers and down;;;;;;
0505901000;HS10;Autres plumes et duvet - Type 1;Other feathers and down - Type 1;Industrie;10.0;1.0;18.0;=;29.0
0505902000;HS10;Autres plumes et duvet - Type 2;Other feathers and down - Type 2;Industrie;10.0;1.0;18.0;=;29.0
0505909000;HS10;Autres plumes et duvet - Autre;Other feathers and down - Other;Industrie;10.0;1.0;18.0;=;29.0
0506;RANGEE 06;"Bones and horn-cores, unworked, defatted, simply prepared (but not cut to shape), treated with acid or degelatinised; powder and waste of these products";;;;;;;
050610;HS6;Osséine et os traités à l'acide;Ossein and acid-treated bones;;;;;;
050610;HS6-DIRECT;Osséine et os traités à l'acide;Ossein and acid-treated bones;Industrie;10.0;1.0;18.0;=;29.0
050690;HS6;Os et cornillons non travaillés;Unworked bones and horn-cores;;;;;;
050690;HS6-DIRECT;Os et cornillons non travaillés;Unworked bones and horn-cores;Industrie;10.0;1.0;18.0;=;29.0
0507;RANGEE 07;"Ivory, tortoise-shell, whalebone and whalebone hair, horns, antlers, hooves, nails, claws and beaks unworked or simply prepared, not cut to shape; waste and powder of these products";;;;;;;
050710;HS6;Ivoire brut;Raw ivory;;;;;;
050710;HS6-DIRECT;Ivoire brut;Raw ivory;Industrie;10.0;1.0;18.0;=;29.0
050790;HS6;Corne, bois de cervidés;Horn, antlers;;;;;;
0507901000;HS10;Corne, bois de cervidés - Type 1;Horn, antlers - Type 1;Industrie;10.0;1.0;18.0;=;29.0
0507902000;HS10;Corne, bois de cervidés - Type 2;Horn, antlers - Type 2;Industrie;10.0;1.0;18.0;=;29.0
0507909000;HS10;Corne, bois de cervidés - Autre;Horn, antlers - Other;Industrie;10.0;1.0;18.0;=;29.0
0508;RANGEE 08;Coral and similar materials, unworked or simply prepared, shells of molluscs, crustaceans or echinoderms and cuttle-bone, not cut to shape powder and waste thereof;;;;;;;
050800;HS6;Corail et matières similaires;Coral and similar materials;;;;;;
050800;HS6-DIRECT;Corail et matières similaires;Coral and similar materials;Industrie;10.0;1.0;18.0;=;29.0
0509;RANGEE 09;;;;;;;;
050900;HS6;Éponges naturelles;Natural sponges;;;;;;
0509001000;HS10;Éponges naturelles - Type 1;Natural sponges - Type 1;Industrie;10.0;1.0;18.0;=;29.0
0509002000;HS10;Éponges naturelles - Type 2;Natural sponges - Type 2;Industrie;10.0;1.0;18.0;=;29.0
0509009000;HS10;Éponges naturelles - Autre;Natural sponges - Other;Industrie;10.0;1.0;18.0;=;29.0
0510;RANGEE 10;"Ambergris, castoreum, civet and musk; cantharides; bile, dried or not glands, other animal products used in preparation of pharmaceutical products, fresh chilled, frozen or otherwise provisionally preserved";;;;;;;
051000;HS6;Ambre gris, castoréum, civette;Ambergris, castoreum, civet;;;;;;
0510001000;HS10;Ambre gris, castoréum, civette - Type 1;Ambergris, castoreum, civet - Type 1;Industrie;10.0;1.0;18.0;=;29.0
0510002000;HS10;Ambre gris, castoréum, civette - Type 2;Ambergris, castoreum, civet - Type 2;Industrie;10.0;1.0;18.0;=;29.0
0510009000;HS10;Ambre gris, castoréum, civette - Autre;Ambergris, castoreum, civet - Other;Industrie;10.0;1.0;18.0;=;29.0
0511;RANGEE 11;"Animal products not elsewhere specified or included; dead animals of chapter 1 or 3, unfit for human consumption";;;;;;;
051110;HS6;Sperme de bovins;Bovine semen;;;;;;
051110;HS6-DIRECT;Sperme de bovins;Bovine semen;Industrie;10.0;1.0;18.0;=;29.0
051191;HS6;Produits de poissons (laitances);Fish products (roes);;;;;;
0511911000;HS10;Produits de poissons (laitances) - Espèce 1;Fish products (roes) - Species 1;Industrie;10.0;1.0;18.0;=;29.0
0511912000;HS10;Produits de poissons (laitances) - Espèce 2;Fish products (roes) - Species 2;Industrie;10.0;1.0;18.0;=;29.0
0511919000;HS10;Produits de poissons (laitances) - Autre espèce;Fish products (roes) - Other species;Industrie;10.0;1.0;18.0;=;29.0
051199;HS6;Autres produits d'origine animale;Other products of animal origin;;;;;;
0511991000;HS10;Autres produits d'origine animale - Type 1;Other products of animal origin - Type 1;Industrie;10.0;1.0;18.0;=;29.0
0511992000;HS10;Autres produits d'origine animale - Type 2;Other products of animal origin - Type 2;Industrie;10.0;1.0;18.0;=;29.0
0511999000;HS10;Autres produits d'origine animale - Autre;Other products of animal origin - Other;Industrie;10.0;1.0;18.0;=;29.0
SECTION II;SECTION;Produits du règne végétal;Vegetable products;;;;;;
CHAPITRE 06;CHAPITRE;Plantes vivantes et fleurs;;;;;;;
0601;RANGEE 01;"Bulbs, tubers, tuberous roots, corms, crowns and rhizomes; dormant, in growth or in flower; chicory plants and roots other than roots of heading no. 1212";;;;;;;
060110;HS6;Bulbes, oignons, tubercules en repos;Bulbs, tubers in dormant state;;;;;;
