Chapitre;Code_Position_10_chiffres;Designation;Droit_Importation_DI;Taxe_Parafiscale_Importation_TPI;Taxe_Valeur_Ajoutee_TVA;Taxe_Interieure_Consommation_TIC;Formalites_particulieres;Source
41;4102211000;- - ayant subi une opération de tannage (y compris le prétannage) réversible;2.5 %;0.25 %;20 %;;Documents et Normes à l'Import.;douane.gov.ma/adil
41;4102219000;- - - d'agneaux;2.5 %;0.25 %;20 %;;Documents et Normes à l'Import.;douane.gov.ma/adil
41;4102291000;- - ayant subi une opération de tannage (y compris le prétannage) réversible;2.5 %;0.25 %;20 %;;Documents et Normes à l'Import.;douane.gov.ma/adil
41;4102299000;- - autres;2.5 %;0.25 %;20 %;;Documents et Normes à l'Import.;douane.gov.ma/adil
41;4103201000;- - ayant subi une opération de tannage (y compris le prétannage) réversible;2.5 %;0.25 %;20 %;;Documents et Normes à l'Import.;douane.gov.ma/adil
41;4103209000;- - - d'agneaux;2.5 %;0.25 %;20 %;;Documents et Normes à l'Import.;douane.gov.ma/adil
41;4103301000;- - ayant subi une opération de tannage (y compris le prétannage) réversible;2.5 %;0.25 %;20 %;;Documents et Normes à l'Import.;douane.gov.ma/adil
41;4103309000;- - - d'agneaux;2.5 %;0.25 %;20 %;;Documents et Normes à l'Import.;douane.gov.ma/adil
41;4103901010;- - - ayant subi une opération de tannage (y compris le prétannage) réversible– – – – autres :;2.5 %;0.25 %;20 %;;Documents et Normes à l'Import.;douane.gov.ma/adil
41;4103901093;- - - - séchés;2.5 %;0.25 %;20 %;;Documents et Normes à l'Import.;douane.gov.ma/adil
41;4103901098;- - - - autres;2.5 %;0.25 %;20 %;;Documents et Normes à l'Import.;douane.gov.ma/adil
41;4103909010;- - - ayant subi une opération de tannage (y compris le prétannage) réversible– – – – autres :– – – – – frais, salés ou séchés :;2.5 %;0.25 %;20 %;;Documents et Normes à l'Import.;douane.gov.ma/adil
41;4103909021;- - - - - de batraciens, de poissons et de mammifères marins;2.5 %;0.25 %;20 %;;Documents et Normes à l'Import.;douane.gov.ma/adil
41;4103909029;- - - - - de cervidés et antilopinés– – – – – – autres :– – – – – – – de chameaux ou de dromadaires :;2.5 %;0.25 %;20 %;;Documents et Normes à l'Import.;douane.gov.ma/adil
41;4103909035;- - - - - - de chameaux ou de dromadaires;2.5 %;0.25 %;20 %;;Documents et Normes à l'Import.;douane.gov.ma/adil
41;4103909039;- - - - - - - autres– – – – – autres:;2.5 %;0.25 %;20 %;;Documents et Normes à l'Import.;douane.gov.ma/adil
41;4103909092;- - - - de batraciens, de poissons et de mammifères marins;2.5 %;0.25 %;20 %;;Documents et Normes à l'Import.;douane.gov.ma/adil
41;4103909098;- - - - - autres;2.5 %;0.25 %;20 %;;Documents et Normes à l'Import.;douane.gov.ma/adil
41;4104110500;- - - visés par la note complémentaire n° 1;2.5 %;0.25 %;20 %;;Documents et Normes à l'Import.;douane.gov.ma/adil
41;4104110700;- - - autres£- - - autres :;2.5 %;0.25 %;20 %;;Documents et Normes à l'Import.;douane.gov.ma/adil
41;4104119010;- - - cuirs et peaux de vachettes des Indes (“Kips”), entiers ou même £dépourvus de la tête et des pattes, d'un poids net par unité inférieur ou égal £à 4,5 Kg, simplement tannés à l'aide de substances végétales, même £ayant subi d'au;2.5 %;0.25 %;20 %;;Documents et Normes à l'Import.;douane.gov.ma/adil
41;4104119091;- - - - pleine fleur, non refendue;2.5 %;0.25 %;20 %;;Documents et Normes à l'Import.;douane.gov.ma/adil
41;4104119092;- - - - côtés fleur;2.5 %;0.25 %;20 %;;Documents et Normes à l'Import.;douane.gov.ma/adil
41;4104190500;- - - visés par la note complémentaire n° 1;2.5 %;0.25 %;20 %;;Documents et Normes à l'Import.;douane.gov.ma/adil
41;4104190700;- - - autres£- - - autres :;2.5 %;0.25 %;20 %;;Documents et Normes à l'Import.;douane.gov.ma/adil
41;4104190800;- - - cuirs et peaux de vachettes des Indes (“Kips”), entiers ou même £dépourvus de la tête et des pattes, d'un poids net par unité inférieur ou égal £à 4,5 Kg, simplement tannés à l'aide de substances végétales, même £ayant subi d'au;2.5 %;0.25 %;20 %;;Documents et Normes à l'Import.;douane.gov.ma/adil
41;4104191030;- - - - de veaux;2.5 %;0.25 %;20 %;;Documents et Normes à l'Import.;douane.gov.ma/adil
41;4104191080;- - - - d'autres bovins£- - - - autres cuirs et peaux de bovins et peaux d'équidés, tannés ou retannés mais sans autre préparation ultérieure, même refendus :;2.5 %;0.25 %;20 %;;"Documents et Normes à l'Import. | ""AUCUN DOCUMENT A PRéSENTERETAUCUNE NORME A RESPECTER.""";douane.gov.ma/adil
41;4104192000;- - - - - cuirs et peaux de bovins (y compris les buffles) à prétannage végétal;2.5 %;0.25 %;20 %;;Documents et Normes à l'Import.;douane.gov.ma/adil
41;4104194000;- - - - - cuirs et peaux de bovins autrement préparés;2.5 %;0.25 %;20 %;;Documents et Normes à l'Import.;douane.gov.ma/adil
41;4104198000;- - - - autres£- A l'état sec (en croûte) :;2.5 %;0.25 %;20 %;;"Documents et Normes à l'Import. | ""AUCUN DOCUMENT A PRéSENTERETAUCUNE NORME A RESPECTER.""";douane.gov.ma/adil
41;4104411010;- - - de veaux;2.5 %;0.25 %;20 %;;Documents et Normes à l'Import.;douane.gov.ma/adil
41;4104412000;- - - - cuirs de pleine épaisseur pour semelles;2.5 %;0.25 %;20 %;;Documents et Normes à l'Import.;douane.gov.ma/adil
41;4104413012;- - - - - cuirs sciés de bovins, fleurs;2.5 %;0.25 %;20 %;;Documents et Normes à l'Import.;douane.gov.ma/adil
41;4104413018;- - - - - autres;2.5 %;0.25 %;20 %;;Documents et Normes à l'Import.;douane.gov.ma/adil
41;4104414000;- - - autres;2.5 %;0.25 %;20 %;;Documents et Normes à l'Import.;douane.gov.ma/adil
41;4104415000;- - autres cuirs et peaux de bovins et peaux d'équidés, préparés après tannage;2.5 %;0.25 %;20 %;;Documents et Normes à l'Import.;douane.gov.ma/adil
41;4104416000;- - - - cuirs de pleine épaisseur pour semelles;2.5 %;0.25 %;20 %;;Documents et Normes à l'Import.;douane.gov.ma/adil
41;4104417010;- - - - - cuirs sciés, fleurs;2.5 %;0.25 %;20 %;;Documents et Normes à l'Import.;douane.gov.ma/adil
41;4104417090;- - - - - autres;2.5 %;0.25 %;20 %;;Documents et Normes à l'Import.;douane.gov.ma/adil
41;4104419000;- - - autres;2.5 %;0.25 %;20 %;;Documents et Normes à l'Import.;douane.gov.ma/adil
41;4104490010;- - de veaux £– – – de gros bovins :;2.5 %;0.25 %;20 %;;Documents et Normes à l'Import.;douane.gov.ma/adil
41;4104490021;- - - cuirs de pleine épaisseur pour semelles;2.5 %;0.25 %;20 %;;Documents et Normes à l'Import.;douane.gov.ma/adil
41;4104490029;- - - autres;2.5 %;0.25 %;20 %;;Documents et Normes à l'Import.;douane.gov.ma/adil
41;4104490090;- - autres;2.5 %;0.25 %;20 %;;Documents et Normes à l'Import.;douane.gov.ma/adil
41;4105100005;- - - visés par la note complémentaire n° 1;2.5 %;0.25 %;20 %;;Documents et Normes à l'Import.;douane.gov.ma/adil
41;4105100007;- - - autres£- - - autres :£- - - - à prétannage végétal :;2.5 %;0.25 %;20 %;;Documents et Normes à l'Import.;douane.gov.ma/adil
41;4105100010;- - - - de metis des Indes, simplement tannées à l'aide de substances végétales, même ayant subi d'autres préparations, mais manifestement non utilisables, en l'état, pour la fabrication d'ouvrages en cuir£- - - - - autres :£- - - - - - de mout;2.5 %;0.25 %;20 %;;Documents et Normes à l'Import.;douane.gov.ma/adil
41;4105100091;- - - - plein fleur, non refendue;2.5 %;0.25 %;20 %;;Documents et Normes à l'Import.;douane.gov.ma/adil
41;4105100092;- - - - côtés fleur;2.5 %;0.25 %;20 %;;Documents et Normes à l'Import.;douane.gov.ma/adil
41;4105100098;- - - - autres;2.5 %;0.25 %;20 %;;Documents et Normes à l'Import.;douane.gov.ma/adil
41;4105300000;A l'état sec (en croûte);2.5 %;0.25 %;20 %;;Documents et Normes à l'Import.;douane.gov.ma/adil
41;4106210005;- - - visés par la note complémentaire n° 1;2.5 %;0.25 %;20 %;;Documents et Normes à l'Import.;douane.gov.ma/adil
41;4106210007;- - - autres£- - - autres :£- - - - à prétannage végétal :;2.5 %;0.25 %;20 %;;Documents et Normes à l'Import.;douane.gov.ma/adil
41;4106210081;- - - plein fleur, non refendue;2.5 %;0.25 %;20 %;;Documents et Normes à l'Import.;douane.gov.ma/adil
41;4106210082;- - - côtés fleur;2.5 %;0.25 %;20 %;;Documents et Normes à l'Import.;douane.gov.ma/adil
41;4106210089;- - - autres;2.5 %;0.25 %;20 %;;Documents et Normes à l'Import.;douane.gov.ma/adil
41;4106220000;- A l'état sec (en croûte);2.5 %;0.25 %;20 %;;Documents et Normes à l'Import.;douane.gov.ma/adil
41;4106311100;- - - visés par la note complémentaire n° 1;2.5 %;0.25 %;20 %;;Documents et Normes à l'Import.;douane.gov.ma/adil
41;4106311900;- - - autres£- - - autres :;2.5 %;0.25 %;20 %;;Documents et Normes à l'Import.;douane.gov.ma/adil
41;4106319000;- - autres;2.5 %;0.25 %;20 %;;Documents et Normes à l'Import.;douane.gov.ma/adil
41;4106320000;- A l'état sec (en croûte);2.5 %;0.25 %;20 %;;Documents et Normes à l'Import.;douane.gov.ma/adil
41;4106400000;De reptiles;2.5 %;0.25 %;20 %;;Documents et Normes à l'Import.;douane.gov.ma/adil
41;4106911100;- - - visés par la note complémentaire n° 1;2.5 %;0.25 %;20 %;;Documents et Normes à l'Import.;douane.gov.ma/adil
41;4106911900;- - - autres£- - - autres :;2.5 %;0.25 %;20 %;;"Documents et Normes à l'Import. | ""AUCUN DOCUMENT A PRéSENTERETAUCUNE NORME A RESPECTER.""";douane.gov.ma/adil
41;4106919100;de batraciens, de poissons et de mammifères marins;2.5 %;0.25 %;20 %;;Documents et Normes à l'Import.;douane.gov.ma/adil
41;4106919900;autres;2.5 %;0.25 %;20 %;;"Documents et Normes à l'Import. | ""AUCUN DOCUMENT A PRéSENTERETAUCUNE NORME A RESPECTER.""";douane.gov.ma/adil
41;4106920030;- - de poissons, de phoques et d'autres mammifères marins;2.5 %;0.25 %;20 %;;Documents et Normes à l'Import.;douane.gov.ma/adil
41;4106920090;- - autres;2.5 %;0.25 %;20 %;;Documents et Normes à l'Import.;douane.gov.ma/adil
41;4107110011;- - - parcheminés;2.5 %;0.25 %;20 %;;"Documents et Normes à l'Import. | ""AUCUN DOCUMENT A PRéSENTERETAUCUNE NORME A RESPECTER.""";douane.gov.ma/adil
41;4107110019;- - - autres;2.5 %;0.25 %;20 %;;"Documents et Normes à l'Import. | ""AUCUN DOCUMENT A PRéSENTERETAUCUNE NORME A RESPECTER.""";douane.gov.ma/adil
41;4107110020;- - - parcheminés £– – – – autres :;2.5 %;0.25 %;20 %;;"Documents et Normes à l'Import. | ""AUCUN DOCUMENT A PRéSENTERETAUCUNE NORME A RESPECTER.""";douane.gov.ma/adil
41;4107110091;- - - - de veaux;2.5 %;0.25 %;20 %;;"Documents et Normes à l'Import. | ""AUCUN DOCUMENT A PRéSENTERETAUCUNE NORME A RESPECTER.""";douane.gov.ma/adil
41;4107110092;- - - - de gros bovins;2.5 %;0.25 %;20 %;;"Documents et Normes à l'Import. | ""AUCUN DOCUMENT A PRéSENTERETAUCUNE NORME A RESPECTER.""";douane.gov.ma/adil
41;4107110099;- - - - autres;2.5 %;0.25 %;20 %;;"Documents et Normes à l'Import. | ""AUCUN DOCUMENT A PRéSENTERETAUCUNE NORME A RESPECTER.""";douane.gov.ma/adil
41;4107120011;- - - parcheminés;2.5 %;0.25 %;20 %;;"Documents et Normes à l'Import. | ""AUCUN DOCUMENT A PRéSENTERETAUCUNE NORME A RESPECTER.""";douane.gov.ma/adil
41;4107120019;- - - autres;2.5 %;0.25 %;20 %;;"Documents et Normes à l'Import. | ""AUCUN DOCUMENT A PRéSENTERETAUCUNE NORME A RESPECTER.""";douane.gov.ma/adil
41;4107120020;- - - parcheminés;2.5 %;0.25 %;20 %;;"Documents et Normes à l'Import. | ""AUCUN DOCUMENT A PRéSENTERETAUCUNE NORME A RESPECTER.""";douane.gov.ma/adil
41;4107120091;- - - - de veaux;2.5 %;0.25 %;20 %;;Documents et Normes à l'Import.;douane.gov.ma/adil
41;4107120092;- - - - de gros bovins;2.5 %;0.25 %;20 %;;"Documents et Normes à l'Import. | ""AUCUN DOCUMENT A PRéSENTERETAUCUNE NORME A RESPECTER.""";douane.gov.ma/adil
41;4107120099;- - - - autres;2.5 %;0.25 %;20 %;;Documents et Normes à l'Import.;douane.gov.ma/adil
41;4107190011;- - - parcheminés;2.5 %;0.25 %;20 %;;"Documents et Normes à l'Import. | ""AUCUN DOCUMENT A PRéSENTERETAUCUNE NORME A RESPECTER.""";douane.gov.ma/adil
41;4107190019;- - - autres;2.5 %;0.25 %;20 %;;"Documents et Normes à l'Import. | ""AUCUN DOCUMENT A PRéSENTERETAUCUNE NORME A RESPECTER.""";douane.gov.ma/adil
41;4107190020;- - - - de veaux;2.5 %;0.25 %;20 %;;"Documents et Normes à l'Import. | ""AUCUN DOCUMENT A PRéSENTERETAUCUNE NORME A RESPECTER.""";douane.gov.ma/adil
41;4107190091;- - - - de gros bovins;2.5 %;0.25 %;20 %;;"Documents et Normes à l'Import. | ""AUCUN DOCUMENT A PRéSENTERETAUCUNE NORME A RESPECTER.""";douane.gov.ma/adil
41;4107190092;- - - - autres;2.5 %;0.25 %;20 %;;"Documents et Normes à l'Import. | ""AUCUN DOCUMENT A PRéSENTERETAUCUNE NORME A RESPECTER.""";douane.gov.ma/adil
41;4107190099;- - - - autres;2.5 %;0.25 %;20 %;;"Documents et Normes à l'Import. | ""AUCUN DOCUMENT A PRéSENTERETAUCUNE NORME A RESPECTER.""";douane.gov.ma/adil
41;4107911000;- - parcheminés;2.5 %;0.25 %;20 %;;Documents et Normes à l'Import.;douane.gov.ma/adil
41;4107913000;- - - de veaux;2.5 %;0.25 %;20 %;;"Documents et Normes à l'Import. | ""AUCUN DOCUMENT A PRéSENTERETAUCUNE NORME A RESPECTER.""";douane.gov.ma/adil
41;4107914100;- - - - cuirs de pleine épaisseur pour semelles;2.5 %;0.25 %;20 %;;"Documents et Normes à l'Import. | ""AUCUN DOCUMENT A PRéSENTERETAUCUNE NORME A RESPECTER.""";douane.gov.ma/adil
41;4107914900;- - - - autres;2.5 %;0.25 %;20 %;;"Documents et Normes à l'Import. | ""AUCUN DOCUMENT A PRéSENTERETAUCUNE NORME A RESPECTER.""";douane.gov.ma/adil
41;4107919000;- - - autres;2.5 %;0.25 %;20 %;;"Documents et Normes à l'Import. | ""AUCUN DOCUMENT A PRéSENTERETAUCUNE NORME A RESPECTER.""";douane.gov.ma/adil
41;4107921000;- - parcheminés;2.5 %;0.25 %;20 %;;"Documents et Normes à l'Import. | ""AUCUN DOCUMENT A PRéSENTERETAUCUNE NORME A RESPECTER.""";douane.gov.ma/adil
41;4107923000;- - - de veaux;2.5 %;0.25 %;20 %;;"Documents et Normes à l'Import. | ""AUCUN DOCUMENT A PRéSENTERETAUCUNE NORME A RESPECTER.""";douane.gov.ma/adil
41;4107924000;- - - - de gros bovins;2.5 %;0.25 %;20 %;;"Documents et Normes à l'Import. | ""AUCUN DOCUMENT A PRéSENTERETAUCUNE NORME A RESPECTER.""";douane.gov.ma/adil
41;4107929000;- - - autres;2.5 %;0.25 %;20 %;;"Documents et Normes à l'Import. | ""AUCUN DOCUMENT A PRéSENTERETAUCUNE NORME A RESPECTER.""";douane.gov.ma/adil
41;4107991000;- - parcheminés;2.5 %;0.25 %;20 %;;"Documents et Normes à l'Import. | ""AUCUN DOCUMENT A PRéSENTERETAUCUNE NORME A RESPECTER.""";douane.gov.ma/adil
41;4107993000;- - - de veaux;2.5 %;0.25 %;20 %;;Documents et Normes à l'Import.;douane.gov.ma/adil
41;4107994000;- - - de gros bovins;2.5 %;0.25 %;20 %;;"Documents et Normes à l'Import. | ""AUCUN DOCUMENT A PRéSENTERETAUCUNE NORME A RESPECTER.""";douane.gov.ma/adil
41;4107999000;- - - autres;2.5 %;0.25 %;20 %;;"Documents et Normes à l'Import. | ""AUCUN DOCUMENT A PRéSENTERETAUCUNE NORME A RESPECTER.""";douane.gov.ma/adil
41;4112000010;parcheminés£- - - autres :;2.5 %;0.25 %;20 %;;"Documents et Normes à l'Import. | ""AUCUN DOCUMENT A PRéSENTERETAUCUNE NORME A RESPECTER.""";douane.gov.ma/adil
41;4112000091;veloutés;2.5 %;0.25 %;20 %;;"Documents et Normes à l'Import. | ""AUCUN DOCUMENT A PRéSENTERETAUCUNE NORME A RESPECTER.""";douane.gov.ma/adil
41;4112000099;autres;2.5 %;0.25 %;20 %;;"Documents et Normes à l'Import. | ""AUCUN DOCUMENT A PRéSENTERETAUCUNE NORME A RESPECTER.""";douane.gov.ma/adil
41;4113100010;- - parcheminés£- - - autres :£- - - - veloutés :;2.5 %;0.25 %;20 %;;"Documents et Normes à l'Import. | ""AUCUN DOCUMENT A PRéSENTERETAUCUNE NORME A RESPECTER.""";douane.gov.ma/adil
41;4113100092;- - - veloutés;2.5 %;0.25 %;20 %;;"Documents et Normes à l'Import. | ""AUCUN DOCUMENT A PRéSENTERETAUCUNE NORME A RESPECTER.""";douane.gov.ma/adil
41;4113100098;- - - autres;2.5 %;0.25 %;20 %;;"Documents et Normes à l'Import. | ""AUCUN DOCUMENT A PRéSENTERETAUCUNE NORME A RESPECTER.""";douane.gov.ma/adil
41;4113200000;De porcins;2.5 %;0.25 %;20 %;;"Documents et Normes à l'Import. | ""AUCUN DOCUMENT A PRéSENTERETAUCUNE NORME A RESPECTER.""";douane.gov.ma/adil
41;4113300010;- - parcheminés;2.5 %;0.25 %;20 %;;"Documents et Normes à l'Import. | ""AUCUN DOCUMENT A PRéSENTERETAUCUNE NORME A RESPECTER.""";douane.gov.ma/adil
41;4113300090;- - autres;2.5 %;0.25 %;20 %;;"Documents et Normes à l'Import. | ""AUCUN DOCUMENT A PRéSENTERETAUCUNE NORME A RESPECTER.""";douane.gov.ma/adil
41;4113900030;- - de poissons,de phoques et d'autres mammifères marins;2.5 %;0.25 %;20 %;;Documents et Normes à l'Import.;douane.gov.ma/adil
41;4113900090;- - d'autres animaux;2.5 %;0.25 %;20 %;;Documents et Normes à l'Import.;douane.gov.ma/adil
41;4114101000;- - de bovins;2.5 %;0.25 %;20 %;;"Documents et Normes à l'Import. | ""AUCUN DOCUMENT A PRéSENTERETAUCUNE NORME A RESPECTER.""";douane.gov.ma/adil
41;4114102000;- - de caprins;2.5 %;0.25 %;20 %;;"Documents et Normes à l'Import. | ""AUCUN DOCUMENT A PRéSENTERETAUCUNE NORME A RESPECTER.""";douane.gov.ma/adil
41;4114103000;- - d'ovins;2.5 %;0.25 %;20 %;;"Documents et Normes à l'Import. | ""AUCUN DOCUMENT A PRéSENTERETAUCUNE NORME A RESPECTER.""";douane.gov.ma/adil
41;4114109000;- - d'autres animaux;2.5 %;0.25 %;20 %;;"Documents et Normes à l'Import. | ""AUCUN DOCUMENT A PRéSENTERETAUCUNE NORME A RESPECTER.""";douane.gov.ma/adil
41;4114200020;- - de bovins;2.5 %;0.25 %;20 %;;"Documents et Normes à l'Import. | ""AUCUN DOCUMENT A PRéSENTERETAUCUNE NORME A RESPECTER.""";douane.gov.ma/adil
41;4114200040;- - d'ovins;2.5 %;0.25 %;20 %;;"Documents et Normes à l'Import. | ""AUCUN DOCUMENT A PRéSENTERETAUCUNE NORME A RESPECTER.""";douane.gov.ma/adil
41;4114200050;- - de caprins;2.5 %;0.25 %;20 %;;"Documents et Normes à l'Import. | ""AUCUN DOCUMENT A PRéSENTERETAUCUNE NORME A RESPECTER.""";douane.gov.ma/adil
41;4114200080;- - d'autres animaux;2.5 %;0.25 %;20 %;;"Documents et Normes à l'Import. | ""AUCUN DOCUMENT A PRéSENTERETAUCUNE NORME A RESPECTER.""";douane.gov.ma/adil
41;4115100000;Cuir reconstitué, à base de cuir ou de fibres de cuir, en plaques, feuilles ou bandes même enroulées;2.5 %;0.25 %;20 %;;"Documents et Normes à l'Import. | ""AUCUN DOCUMENT A PRéSENTERETAUCUNE NORME A RESPECTER.""";douane.gov.ma/adil
41;4115200000;"""Rognures et autres déchets de cuirs ou de peaux préparés ou de £cuir reconstitué, non utilisables pour la fabrication d'ouvrages en cuir; £sciure, poudre et farine de cuir""";2.5 %;0.25 %;20 %;;"Documents et Normes à l'Import. | ""AUCUN DOCUMENT A PRéSENTERETAUCUNE NORME A RESPECTER.""";douane.gov.ma/adil
42;4201001000;"- - - - articles de bourrellerie; articles de harnachement et d'équipement pour chevaux, mulets et chameaux (selles et harnachements de selles, harnais fins de trait, couvertures et tapis de selles, camails, caparaçons, etc...)";30 %;0.25 %;20 %;;"Documents et Normes à l'Import. | ""AUCUN DOCUMENT A PRéSENTERETAUCUNE NORME A RESPECTER.""";douane.gov.ma/adil
42;4201009000;- - - - autres;30 %;0.25 %;20 %;;"Documents et Normes à l'Import. | ""AUCUN DOCUMENT A PRéSENTERETAUCUNE NORME A RESPECTER.""";douane.gov.ma/adil
42;4202110010;- - articles de voyage et trousses de toilette;30 %;0.25 %;20 %;;Documents et Normes à l'Import. | LES NORMES OBLIGATOIRES;douane.gov.ma/adil
42;4202110020;- - serviettes et porte-documents;30 %;0.25 %;20 %;;Documents et Normes à l'Import. | LES NORMES OBLIGATOIRES;douane.gov.ma/adil
42;4202110090;- - - - autres;30 %;0.25 %;20 %;;Documents et Normes à l'Import.;douane.gov.ma/adil
42;4202121010;- - - contenant des matières textiles;30 %;0.25 %;20 %;;Documents et Normes à l'Import. | LES NORMES OBLIGATOIRES;douane.gov.ma/adil
42;4202121091;- - - - malles, mallettes ou porte-habits;30 %;0.25 %;20 %;;Documents et Normes à l'Import. | LES NORMES OBLIGATOIRES;douane.gov.ma/adil
42;4202121092;- - - - serviettes, cartables, porte-musique et similaires;30 %;0.25 %;20 %;;Documents et Normes à l'Import. | LES NORMES OBLIGATOIRES;douane.gov.ma/adil
42;4202121099;- - - - - - autres;30 %;0.25 %;20 %;;Documents et Normes à l'Import.;douane.gov.ma/adil
42;4202122000;- - en fibre vulcanisée;30 %;0.25 %;20 %;;Documents et Normes à l'Import. | LES NORMES OBLIGATOIRES;douane.gov.ma/adil
42;4202123000;- - - en tissus;30 %;0.25 %;20 %;;Documents et Normes à l'Import. | LES NORMES OBLIGATOIRES;douane.gov.ma/adil
42;4202124000;- - en bonneterie;30 %;0.25 %;20 %;;Documents et Normes à l'Import. | LES NORMES OBLIGATOIRES;douane.gov.ma/adil
42;4202129010;- - - contenant des matières textiles;30 %;0.25 %;20 %;;Documents et Normes à l'Import.;douane.gov.ma/adil
42;4202129091;- - - - articles de voyages et trousses de toilette;30 %;0.25 %;20 %;;Documents et Normes à l'Import.;douane.gov.ma/adil
42;4202129099;- - - - - - autres;30 %;0.25 %;20 %;;Documents et Normes à l'Import.;douane.gov.ma/adil
42;4202190010;- - serviettes et cartables écoliers;30 %;0.25 %;20 %;;Documents et Normes à l'Import.;douane.gov.ma/adil
42;4202190090;- - autres;30 %;0.25 %;20 %;;Documents et Normes à l'Import.;douane.gov.ma/adil
42;4202210000;- A surface extérieure en cuir naturel, en cuir reconstitué ou en cuir verni;30 %;0.25 %;20 %;;Documents et Normes à l'Import. | LES NORMES OBLIGATOIRES;douane.gov.ma/adil
42;4202220010;- - en feuilles de matières plastiques;;;;;"Documents et Normes à l'Import. | ""AUCUN DOCUMENT A PRéSENTERETAUCUNE NORME A RESPECTER.""";douane.gov.ma/adil
42;4202220090;- - en matières textiles;;;;;"Documents et Normes à l'Import. | ""AUCUN DOCUMENT A PRéSENTERETAUCUNE NORME A RESPECTER.""";douane.gov.ma/adil
42;4202290000;- Autres£- Articles de poche ou de sac à main :;30 %;0.25 %;20 %;;Documents et Normes à l'Import.;douane.gov.ma/adil
42;4202310000;- - A surface extérieure en cuir naturel, en cuir reconstitué ou en cuir verni;30 %;0.25 %;20 %;;Documents et Normes à l'Import. | LES NORMES OBLIGATOIRES;douane.gov.ma/adil
42;4202321010;- - - contenant des matières textiles;30 %;0.25 %;20 %;;Documents et Normes à l'Import. | LES NORMES OBLIGATOIRES;douane.gov.ma/adil
42;4202321091;- - - - trousses et étuis souples, portefeuilles, porte-monnaie, porte-cartes, blagues à tabac, liseuses et autres articles similaires;30 %;0.25 %;20 %;;Documents et Normes à l'Import. | LES NORMES OBLIGATOIRES;douane.gov.ma/adil
42;4202321099;- - - - autres articles;30 %;0.25 %;20 %;;Documents et Normes à l'Import.;douane.gov.ma/adil
42;4202329000;- - - - autres;;;;;"Documents et Normes à l'Import. | ""AUCUN DOCUMENT A PRéSENTERETAUCUNE NORME A RESPECTER.""";douane.gov.ma/adil
42;4202391000;- - - en matières plastiques;30 %;0.25 %;20 %;;Documents et Normes à l'Import.;douane.gov.ma/adil
42;4202398000;- - autres;30 %;0.25 %;20 %;;Documents et Normes à l'Import.;douane.gov.ma/adil
42;4202910000;- - A surface extérieure en cuir naturel, en cuir reconstitué ou en cuir verni;30 %;0.25 %;20 %;;Documents et Normes à l'Import. | LES NORMES OBLIGATOIRES;douane.gov.ma/adil
42;4202920500;- - Sacs isothermiques ou sacs isothermes en feuilles de matières plastiques (a) (b);30 %;0.25 %;20 %;;Documents et Normes à l'Import.;douane.gov.ma/adil
42;4202921010;- - - - contenant des matières textiles;30 %;0.25 %;20 %;;Documents et Normes à l'Import. | LES NORMES OBLIGATOIRES;douane.gov.ma/adil
42;4202921091;- - - - sacs de voyage;30 %;0.25 %;20 %;;Documents et Normes à l'Import.;douane.gov.ma/adil
42;4202921092;"- - - - étuis et écrins pour armes, pour jumelles, pour appareils photographiques, pour instruments de musique et autres instruments ou appareils ; cartou- chières";30 %;0.25 %;20 %;;Documents et Normes à l'Import.;douane.gov.ma/adil
42;4202921099;- - - - autres articles;30 %;0.25 %;20 %;;Documents et Normes à l'Import. | LES NORMES OBLIGATOIRES;douane.gov.ma/adil
42;4202929010;- - - en bonneterie;30 %;0.25 %;20 %;;Documents et Normes à l'Import. | LES NORMES OBLIGATOIRES;douane.gov.ma/adil
42;4202929090;- - - - - autres;30 %;0.25 %;20 %;;Documents et Normes à l'Import. | LES NORMES OBLIGATOIRES;douane.gov.ma/adil
42;4202990011;- - - - de filaments synthétiques;30 %;0.25 %;20 %;;Documents et Normes à l'Import.;douane.gov.ma/adil
42;4202990012;- - - - de filaments artificielles;30 %;0.25 %;20 %;;Documents et Normes à l'Import.;douane.gov.ma/adil
42;4202990019;- - - - autres £– – – – d'une surface massique inférieure à 50g/m2:;30 %;0.25 %;20 %;;Documents et Normes à l'Import.;douane.gov.ma/adil
42;4202990021;- - - - de filaments synthétiques;30 %;0.25 %;20 %;;Documents et Normes à l'Import.;douane.gov.ma/adil
42;4202990022;- - - - de filaments artificielles;30 %;0.25 %;20 %;;Documents et Normes à l'Import.;douane.gov.ma/adil
42;4202990029;- - - - autres;30 %;0.25 %;20 %;;Documents et Normes à l'Import.;douane.gov.ma/adil
42;4202990030;- - trousses écoliers en toute matière £– – – autres:;30 %;0.25 %;20 %;;Documents et Normes à l'Import.;douane.gov.ma/adil
42;4202990091;- - - en matières plastiques;30 %;0.25 %;20 %;;Documents et Normes à l'Import. | LES NORMES OBLIGATOIRES;douane.gov.ma/adil
42;4202990099;- - - autres;30 %;0.25 %;20 %;;Documents et Normes à l'Import. | LES NORMES OBLIGATOIRES;douane.gov.ma/adil
42;4203101000;- - constituant des équipements spéciaux pour tous métiers;30 %;0.25 %;20 %;;"Documents et Normes à l'Import. | ""AUCUN DOCUMENT A PRéSENTERETAUCUNE NORME A RESPECTER.""";douane.gov.ma/adil
